person_id	person_label	name_alt	birth_year	death_year	death_type	roles	city_of_origin_id	apostolic_connection	description	wikipedia_url	citations	notes
donatus-of-casae-nigrae	Donatus of Casae Nigrae				unknown	bishop;theologian	carthage-carthage		Bishop of Casae Nigrae in Numidia; founder of the Donatist movement; argued that Caecilian's ordination was invalid due to his ordainer Felix being a traditor; his followers became the Donatists.	https://en.wikipedia.org/wiki/Donatus_of_Casae_Nigrae	Optatus of Mileve, Against the Donatists	
eborius	Eborius				unknown	bishop	eboracum-york		Bishop of York; attended the Council of Arles (314); one of the earliest attested British bishops.		Concilium Arelatense 314	
eleutherus	Eleutherus	Eleutherius		189	natural	bishop	rome-rome		Pope (c.174–189); during his pontificate Irenaeus of Lyon visited Rome; tradition records correspondence with the British king Lucius.	https://en.wikipedia.org/wiki/Pope_Eleutherus	Eusebius, Eccl. Hist. 4.22; 5.4	
epae-netus	Epaenetus				unknown	disciple		Commended by Paul (Rom 16:5).	Named in Romans 16 as among Paul's acquaintances in Rome.	https://en.wikipedia.org/wiki/Special:Search?search=Epaenetus	https://biblehub.com/romans/16-5.htm;https://en.wikipedia.org/wiki/Special:Search?search=Epaenetus	Rom 16:5.
epaphras	Epaphras				unknown	missionary		Coworker of Paul (Col 1:7; 4:12).	Coworker associated with Colossae; commended in Colossians.	https://en.wikipedia.org/wiki/Special:Search?search=Epaphras	https://biblehub.com/colossians/4-12.htm;https://en.wikipedia.org/wiki/Special:Search?search=Epaphras	Col 4:12–13.
epaphroditus	Epaphroditus				unknown	messenger		Philippian coworker (Phil 2:25).	Messenger and coworker from Philippi associated with Paul's imprisonment.	https://en.wikipedia.org/wiki/Epaphroditus	https://en.wikipedia.org/wiki/Epaphroditus;https://biblehub.com/philippians/2-25.htm	Phil 2:25–30.
ephrem-the-syrian	Ephrem the Syrian	Ephraem Syrus; Saint Ephrem	306	373	natural	deacon;hymnographer;theologian	nisibis-nusaybin		Syriac deacon and hymnographer; fled to Edessa when Nisibis was ceded to Persia (363); wrote against Arianism, Marcionism, and Bardaisanism; Doctor of the Church.	https://en.wikipedia.org/wiki/Ephrem_the_Syrian	https://www.britannica.com/biography/Saint-Ephrem-the-Syrian;https://en.wikipedia.org/wiki/Ephrem_the_Syrian	Called the Harp of the Holy Spirit; feast day 9 June.
epiphanius-of-salamis	Epiphanius of Salamis		315	403	natural	bishop;theologian;author	caesarea-maritima-caesarea		Bishop of Salamis in Cyprus (367–403); author of the Panarion (Medicine Chest), an encyclopedic refutation of 80 heresies; staunch defender of Nicene orthodoxy; opponent of Origen's legacy.	https://en.wikipedia.org/wiki/Epiphanius_of_Salamis	Panarion; Ancoratus	
erastus	Erastus				unknown	coworker		Named in Rom 16:23; also in Acts/letters.	Named as city treasurer in Romans 16:23; appears elsewhere in the Pauline circle.	https://en.wikipedia.org/wiki/Special:Search?search=Erastus%20of%20Corinth	https://biblehub.com/romans/16-23.htm;https://en.wikipedia.org/wiki/Special:Search?search=Erastus%20of%20Corinth	Rom 16:23; Acts 19:22; 2 Tim 4:20.
eros	Eros				natural	bishop	alexandria-alexandria		Bishop of Alexandria (c.189) in the episcopal list; little else is recorded.		Eusebius, Eccl. Hist. 5.22	
eubulus	Eubulus				unknown	disciple		Mentioned in 2 Tim 4:21.	Named in 2 Timothy among those sending greetings.	https://en.wikipedia.org/wiki/Special:Search?search=Eubulus	https://biblehub.com/2_timothy/4-21.htm;https://en.wikipedia.org/wiki/Special:Search?search=Eubulus	2 Tim 4:21.
eucharius	Eucharius				unknown	bishop	augusta-treverorum-trier		Traditionally regarded as the first bishop of Trier; sent from Rome in the 1st or 2nd century according to local tradition; historical attestation is weak.	https://en.wikipedia.org/wiki/Eucharius_of_Trier	Gesta Treverorum	
eulalius	Eulalius				natural	bishop	alexandria-alexandria		Bishop in the Alexandrian succession; minimal information survives.		Eusebius, Eccl. Hist. 7.32	
eumenes	Eumenes				natural	bishop	alexandria-alexandria		Bishop of Alexandria (c.129–141); in the apostolic succession list preserved by Eusebius.		Eusebius, Eccl. Hist. 4.4	
eunice	Eunice				unknown	layperson	lystra-hatunsaray		Mother of Timothy (2 Tim 1:5); Jewish believer who together with her mother Lois raised Timothy in the scriptures; likely converted early in Paul's mission to Lystra.		2 Tim 1:5; Acts 16:1	
euodia	Euodia				unknown	disciple		Named in Phil 4:2.	Named in Philippians among two women urged to agree in the Lord.	https://en.wikipedia.org/wiki/Special:Search?search=Euodia	https://biblehub.com/philippians/4-2.htm;https://en.wikipedia.org/wiki/Special:Search?search=Euodia	Phil 4:2.
eusebius-of-caesarea	Eusebius of Caesarea	Eusebius Pamphili	260	340	natural	bishop;historian;theologian	caesarea-maritima-caesarea		Bishop of Caesarea; author of the Ecclesiastical History, foundational source for early Christian history; adviser to Constantine I.	https://en.wikipedia.org/wiki/Eusebius_of_Caesarea	https://www.britannica.com/biography/Eusebius-of-Caesarea;https://en.wikipedia.org/wiki/Eusebius_of_Caesarea	His Ecclesiastical History covers c.33-324 CE.
eusebius-of-nicomedia	Eusebius of Nicomedia			341	natural	bishop;theologian	nicomedia-izmit		Arian bishop of Nicomedia (then Beirut and Constantinople); ally of Arius; baptized Constantine I on his deathbed (337); influential at the Arian-favoring imperial court.	https://en.wikipedia.org/wiki/Eusebius_of_Nicomedia	Socrates Scholasticus Ecclesiastical History 2; Athanasius Historia Arianorum	
eustathius-of-antioch	Eustathius of Antioch			337	unknown	bishop;theologian;author	antioch-antakya		Bishop of Antioch (c.324–327); leading anti-Arian theologian; deposed at the Council of Antioch (327/328) on charges of Sabellianism; his writings include fragments against Origen.	https://en.wikipedia.org/wiki/Eustathius_of_Antioch	Theodoret, Eccl. Hist. 1.7	
eustathius-of-sebaste	Eustathius of Sebaste		300	377	natural	bishop;ascetic	sebaste-sivas		Bishop of Sebaste (c.357-377); early monastic pioneer in Pontus and Armenia; influenced Basil of Caesarea; condemned at the Council of Gangra (c.340) for extreme asceticism.	https://en.wikipedia.org/wiki/Eustathius_of_Sebaste	Basil of Caesarea letters; Council of Gangra canons	
eutychian	Eutychian			283	natural	bishop	rome-rome		Pope (275–283); little is known; traditional martyrdom account is late and unreliable.	https://en.wikipedia.org/wiki/Pope_Eutychian	Liber Pontificalis	
eutychus	Eutychus				unknown	disciple		Named in Acts 20.	Young man in Acts 20 who fell from a window and was restored to life.	https://en.wikipedia.org/wiki/Eutychus	https://en.wikipedia.org/wiki/Eutychus;https://biblehub.com/acts/20-9.htm	Acts 20:9–12.
evaristus	Evaristus				unknown	bishop	rome-rome	Early Roman bishop in traditional succession lists (late 1st/early 2nd c).	Early bishop of Rome in later episcopal lists; details uncertain.	https://en.wikipedia.org/wiki/Pope_Evaristus	https://en.wikipedia.org/wiki/Pope_Evaristus	Often dated late 1st century into early 2nd.
evodius	Evodius				unknown	bishop	antioch-antakya	Direct disciple of Peter	Traditional first bishop of Antioch after Peter; said to have coined the term \\\"Christian\\\" (Acts 11:26) or to have introduced it in Antioch; succeeded by Ignatius.	https://en.wikipedia.org/wiki/Evodius_of_Antioch	Eusebius, Eccl. Hist. 3.22	
fabian	Fabian			250	martyrdom	bishop	rome-rome		Bishop of Rome (236-250); divided Roman church into 7 deaconries; martyred in the Decian persecution (250); Origen wrote a letter to him about his own teachings.	https://en.wikipedia.org/wiki/Pope_Fabian	Eusebius Ecclesiastical History 6.29; Cyprian Letters	
fabius-of-antioch	Fabius of Antioch			253	natural	bishop	antioch-antakya		Bishop of Antioch (c.250–253); corresponded with Cyprian and Cornelius of Rome; initially sympathetic to Novatian's rigorist position.	https://en.wikipedia.org/wiki/Fabius_of_Antioch	Eusebius, Eccl. Hist. 6.39	
felicitas	Felicitas			203	martyrdom	martyr	carthage-carthage		Enslaved woman martyred with Perpetua in Carthage (7 March 203); gave birth in prison days before her execution; account preserved in the Passio Perpetuae.	https://en.wikipedia.org/wiki/Perpetua_and_Felicitas	Passio Sanctarum Perpetuae et Felicitatis	
hegesippus	Hegesippus		110	180	natural	historian;author	jerusalem-jerusalem		Jewish-Christian chronicler and church historian; wrote five books of Memoirs (Hypomnemata, c.170–180) tracing apostolic succession in Rome, Corinth, and Jerusalem to demonstrate the unity and continuity of apostolic teaching against Gnostic claims; visited Rome under Anicetus and stayed until Eleutherius; preserved the earliest known list of Roman bishops; a primary source for Eusebius's Ecclesiastical History.	https://en.wikipedia.org/wiki/Hegesippus_(chronicler)	Eusebius, Eccl. Hist. 2.23; 3.32; 4.8; 4.22	
felix-i	Felix I	Felix I		274	natural	bishop	rome-rome		Pope (269–274); little historical documentation; traditional account credits him with regulating mass on martyrs' tombs.	https://en.wikipedia.org/wiki/Pope_Felix_I	Liber Pontificalis	
felix-of-aptunga	Felix of Aptunga				unknown	bishop	carthage-carthage		Bishop of Aptunga; ordained Caecilian as Bishop of Carthage (311); accused by Donatists of being a traditor who surrendered scriptures under Diocletian; a formal inquiry by the proconsul Aelianus found him innocent.	https://en.wikipedia.org/wiki/Felix_of_Aptunga	Optatus of Mileve, Against the Donatists 1.14	
firmilian-of-caesarea	Firmilian of Caesarea	Firmilian		268	natural	bishop;theologian	caesarea-cappadocia-kayseri		Bishop of Caesarea Cappadocia (c.232-268); student of Origen; ally of Cyprian in the baptism controversy; participated in Paul of Samosata controversy.	https://en.wikipedia.org/wiki/Firmilian	Eusebius Ecclesiastical History 7.28; Cyprian Letters 75	
flacillus	Flacillus				natural	bishop	antioch-antakya		Bishop of Antioch (c.333–341); Arian sympathizer; presided over the synod that condemned Athanasius of Alexandria (c.341).		Socrates, Eccl. Hist. 2.8	
fortunatianus-of-aquileia	Fortunatianus of Aquileia				natural	bishop	aquileia-aquileia		Bishop of Aquileia (c.343–360); noted for biblical commentaries; pressured Pope Liberius to condemn Athanasius; his Commentary on the Gospels was rediscovered in 2012.	https://en.wikipedia.org/wiki/Fortunatianus_of_Aquileia	Fortunatianus, Commentary on the Gospels	
fortunatus	Fortunatus				unknown	disciple;delegate		Named in 1 Cor 16:17.	Named in 1 Corinthians among those who visited Paul.	https://en.wikipedia.org/wiki/Special:Search?search=Fortunatus%20%28biblical%20figure%29	https://biblehub.com/1_corinthians/16-17.htm;https://en.wikipedia.org/wiki/Special:Search?search=Fortunatus%20%28biblical%20figure%29	1 Cor 16:17.
fructuosus-of-tarragona	Fructuosus of Tarragona			259	martyrdom	bishop;martyr	tarraco-tarragona		Bishop of Tarragona; martyred with his deacons Augurius and Eulogius under Valerian (21 January 259); account preserved in Acts of Fructuosus; Prudentius wrote a hymn in his honor.	https://en.wikipedia.org/wiki/Fructuosus_of_Tarragona	Acta Fructuosi; Prudentius, Peristephanon 6	
frumentius	Frumentius	Abba Selama; Saint Frumentius	300	360	natural	bishop;missionary			Tyrian Christian who became tutor to the Aksumite royal court; consecrated by Athanasius as first bishop of Ethiopia (c.328); evangelized King Ezana.	https://en.wikipedia.org/wiki/Frumentius	Rufinus Ecclesiastical History 10.9; Athanasius	Called Abba Selama (Father of Peace) in Ethiopia.
gaianus	Gaianus				natural	bishop	alexandria-alexandria		Bishop of Alexandria (c.260); in the Alexandrian episcopal succession list; minimal information survives.		Eusebius, Eccl. Hist. 7.32	
gaius	Gaius				unknown	host;disciple		Host mentioned in Rom 16:23; also appears in other NT contexts.	Named as host of Paul and the whole church in Romans 16:23.	https://en.wikipedia.org/wiki/Special:Search?search=Gaius%20%28biblical%20figure%29	https://biblehub.com/romans/16-23.htm;https://en.wikipedia.org/wiki/Special:Search?search=Gaius%20%28biblical%20figure%29	Rom 16:23.
gaius-of-derbe	Gaius of Derbe				unknown	layperson	derbe-near-karaman		Companion of Paul on his final journey to Jerusalem (Acts 20:4); from Derbe in Galatia.		Acts 20:4	
gelasius	Gelasius	Gelasius of Caesarea		395	natural	bishop;theologian;author	caesarea-maritima-caesarea		Bishop of Caesarea Maritima (c.367–395); nephew of Cyril of Jerusalem; continued Eusebius's Ecclesiastical History; works largely lost.	https://en.wikipedia.org/wiki/Gelasius_of_Caesarea	Jerome, De viris illustribus 130	
gratus	Gratus				natural	bishop	carthage-carthage		Bishop of Carthage (c.349); presided over the Council of Carthage (349) that declared Donatist re-baptism invalid.		Optatus of Mileve, Against the Donatists	
gregory-of-nazianzus	Gregory of Nazianzus	Gregory the Theologian; Gregory Nazianzen	329	390	natural	bishop;theologian;poet	nazianzus-bekarlar-near-guzelyurt		Cappadocian Father and theologian; briefly Bishop of Constantinople (380-381); presided at the Council of Constantinople (381); his Five Theological Orations are foundational Trinitarian texts.	https://en.wikipedia.org/wiki/Gregory_of_Nazianzus	https://www.britannica.com/biography/Saint-Gregory-of-Nazianzus;https://en.wikipedia.org/wiki/Gregory_of_Nazianzus	One of the Three Holy Hierarchs.
gregory-thaumaturgus	Gregory Thaumaturgus	Gregory the Wonder-Worker	213	270	natural	bishop;theologian	neocaesarea-niksar		Bishop of Neocaesarea (c.240-270); student of Origen; credited with miraculous healings; the church he built reportedly grew from 17 to all-but-17-pagans during his tenure.	https://en.wikipedia.org/wiki/Gregory_Thaumaturgus	Gregory of Nyssa Life of Gregory Thaumaturgus; Jerome	Feast day 17 November.
gregory-the-elder	Gregory the Elder		276	374	natural	bishop	nazianzus-bekarlar-near-guzelyurt		Bishop of Nazianzus (c.328-374); father of Gregory Nazianzus the Theologian; converted from the Hypsistarian sect.	https://en.wikipedia.org/wiki/Gregory_the_Elder	Gregory of Nazianzus Orations 18	
gregory-the-illuminator	Gregory the Illuminator	Saint Gregory; Grigor Lusavorich	257	331	natural	bishop;missionary			Apostle of Armenia; converted King Tiridates III (c.301); became first Catholicos of the Armenian Apostolic Church; Armenia is credited as the first nation to adopt Christianity.	https://en.wikipedia.org/wiki/Gregory_the_Illuminator	https://www.britannica.com/biography/Saint-Gregory-the-Illuminator;https://en.wikipedia.org/wiki/Gregory_the_Illuminator	Imprisoned for 13 years in a pit before converting the king.
helena	Helena	Saint Helena; Helena Augusta	248	330	natural	empress;pilgrim			Mother of Emperor Constantine I; converted to Christianity; made a pilgrimage to the Holy Land c.326-328 where she founded churches and reportedly discovered the True Cross.	https://en.wikipedia.org/wiki/Helena_(empress)	Eusebius Life of Constantine 3.41-47; Socrates Scholasticus	Feast day 18 August (West) / 21 May (East).
heraclas	Heraclas			248	natural	bishop	alexandria-alexandria		Bishop of Alexandria (232–248); pupil and successor of Origen as head of the catechetical school; succeeded Demetrius as bishop; first Alexandrian bishop to wear the episcopal miter.	https://en.wikipedia.org/wiki/Heraclas_of_Alexandria	Eusebius, Eccl. Hist. 6.3	
heracleidios	Heracleidios				unknown	bishop	cyprus-salamis-famagusta-area		Early bishop of Cyprus; traditionally connected to the apostolic mission of Paul and Barnabas.		Acts of Barnabas	
hermagoras	Hermagoras				unknown	bishop	aquileia-aquileia		Traditional first bishop of Aquileia; said to have been sent by Mark the Evangelist; historical documentation is medieval.	https://en.wikipedia.org/wiki/Hermagoras_of_Aquileia	Chromatius of Aquileia, Sermons	
hermas	Hermas				unknown	disciple		Greeted by Paul (Rom 16:14).	Named in Romans 16 among Paul's greetings.	https://en.wikipedia.org/wiki/Special:Search?search=Hermas	https://biblehub.com/romans/16-14.htm;https://en.wikipedia.org/wiki/Special:Search?search=Hermas	Rom 16:14.
hermes	Hermes				unknown	disciple		Greeted by Paul (Rom 16:14).	Named in Romans 16 among Paul's greetings.	https://en.wikipedia.org/wiki/Special:Search?search=Hermes%20%28biblical%20figure%29	https://biblehub.com/romans/16-14.htm;https://en.wikipedia.org/wiki/Special:Search?search=Hermes%20%28biblical%20figure%29	Rom 16:14.
hermon	Hermon				natural	bishop	alexandria-alexandria		Bishop of Alexandria (c.179–189) in the episcopal succession list preserved by Eusebius.		Eusebius, Eccl. Hist. 5.9	
herodion	Herodion				unknown	disciple		Commended by Paul (Rom 16:11).	Named in Romans 16 among Paul's greetings.	https://en.wikipedia.org/wiki/Special:Search?search=Herodion	https://biblehub.com/romans/16-11.htm;https://en.wikipedia.org/wiki/Special:Search?search=Herodion	Rom 16:11.
heron	Heron				natural	bishop	alexandria-alexandria		Bishop of Alexandria (c.189) in the Eusebian episcopal list; minimal information survives.		Eusebius, Eccl. Hist. 5.22	
hippolytus	Hippolytus	Hippolytus of Rome	170	235	martyrdom	theologian;bishop;author	rome-rome		Roman theologian and antipope; wrote Refutation of All Heresies and Apostolic Tradition; opponent of popes Callixtus I and Zephyrinus; exiled to Sardinian mines with Pope Pontian where he died.	https://en.wikipedia.org/wiki/Hippolytus_of_Rome	Eusebius Ecclesiastical History 6.20; Photius Bibliotheca	The Apostolic Tradition attributed to him is a key source for early liturgy.
hosius-of-corduba	Hosius of Corduba	Ossius of Cordova	256	357	natural	bishop;adviser	corduba-cordoba		Bishop of Cordoba (c.295-357); principal religious adviser to Constantine I; presided at Nicaea (325); possibly the main drafter of the Nicene Creed.	https://en.wikipedia.org/wiki/Hosius_of_Cordoba	Eusebius Life of Constantine; Athanasius Historia Arianorum	Signed an Arian formula under pressure at Council of Sirmium (357) aged over 100.
husik-i	Husik I	Yusik I		347	martyrdom	bishop	vagharshapat-vagharshapat-etchmiadzin		Catholicos of Armenia (c.340–347); grandson of Gregory the Illuminator; martyred by King Tiran of Armenia.	https://en.wikipedia.org/wiki/Husik_I	Agathangelos, History of the Armenians	
hyginus	Hyginus			142	natural	bishop	rome-rome		Pope (c.136–142); listed in early papal succession lists; Irenaeus records him as a contemporary of Valentinus and Cerdo.	https://en.wikipedia.org/wiki/Pope_Hyginus	Irenaeus, Against Heresies 3.4.3; Eusebius, Eccl. Hist. 4.10	
hymenaeus	Hymenaeus				unknown	theologian	ephesus-selcuk-area		False teacher condemned by Paul (1 Tim 1:20; 2 Tim 2:17); taught that the resurrection had already occurred; excommunicated.		1 Tim 1:20; 2 Tim 2:17	
ignatius-of-antioch	Ignatius of Antioch	Theophorus; Saint Ignatius	35	108	martyrdom	bishop;author	antioch-antakya	Disciple of John the Apostle in later tradition.	Bishop of Antioch and early Church Father; wrote seven letters en route to martyrdom in Rome; key witness to early episcopacy and Eucharistic theology.	https://en.wikipedia.org/wiki/Ignatius_of_Antioch	https://www.britannica.com/biography/Saint-Ignatius-of-Antioch;https://en.wikipedia.org/wiki/Ignatius_of_Antioch	Letters are primary sources for mono-episcopal church order in the 2nd century.
irenaeus-of-lyon	Irenaeus of Lyon	Saint Irenaeus	130	202	martyrdom	bishop;theologian;author	smyrna-izmir	Student of Polycarp of Smyrna who had known the Apostle John.	Bishop of Lyon (c.178-202); author of Against Heresies; formulated the apostolic succession and rule of faith arguments against Gnosticism; bridge between the apostolic and post-apostolic generations.	https://en.wikipedia.org/wiki/Irenaeus	https://www.britannica.com/biography/Saint-Irenaeus;https://en.wikipedia.org/wiki/Irenaeus	His Against Heresies is the most important anti-gnostic work of the 2nd century.
irenaeus-of-sirmium	Irenaeus of Sirmium			304	martyrdom	bishop;martyr	sirmium-sremska-mitrovica		Bishop of Sirmium; martyred under Diocletian (6 April 304); Acts of his martyrdom survive and record his interrogation before the governor Probus.	https://en.wikipedia.org/wiki/Irenaeus_of_Sirmium	Acta Irenaei	
jacob-of-nisibis	Jacob of Nisibis	James of Nisibis		338	natural	bishop;ascetic	nisibis-nusaybin		Bishop of Nisibis (c.308-338); attended the Council of Nicaea (325); credited with miraculous defense of Nisibis against Persian sieges; teacher of Ephrem the Syrian.	https://en.wikipedia.org/wiki/Jacob_of_Nisibis	Theodoret Ecclesiastical History 1.11; Ephrem Hymns on Nisibis	
james-son-of-alphaeus	James, son of Alphaeus	James the Less			unknown	apostle		One of the Twelve.	Apostle listed among the Twelve.	https://en.wikipedia.org/wiki/James,_son_of_Alphaeus	https://en.wikipedia.org/wiki/James,_son_of_Alphaeus	
james-son-of-zebedee	James, son of Zebedee	James the Greater		44	martyrdom	apostle;martyr		One of the Twelve; executed in Jerusalem (Acts 12:2).	Apostle in Jesus' inner circle; first of the Twelve reported martyred in Acts.	https://en.wikipedia.org/wiki/James_the_Great	https://www.britannica.com/biography/St-James-son-of-Zebedee;https://en.wikipedia.org/wiki/James_the_Great;https://biblehub.com/acts/12-2.htm	Acts 12:2 is the primary textual anchor for his death.
james-the-just	James the Just	James of Jerusalem;brother of the Lord		62	martyrdom	bishop;leader	jerusalem-jerusalem	Named by Paul as a Jerusalem 'pillar' alongside Peter and John (Gal 2).	Leader of the Jerusalem church in the mid-1st century; central to early Gentile inclusion debates.	https://en.wikipedia.org/wiki/James,_brother_of_Jesus	https://www.britannica.com/biography/Saint-James-the-Lords-brother;https://en.wikipedia.org/wiki/James,_brother_of_Jesus	Death date is approximate; later sources differ on circumstances.
januarius-bishop-of-benevento	Januarius bishop of Benevento	Januarius of Benevento		305	martyrdom	bishop;martyr	neapolis-naples		Bishop of Benevento; martyred under Diocletian (c.305); patron saint of Naples; known for the relic of his liquefying blood preserved at Naples Cathedral.	https://en.wikipedia.org/wiki/Januarius	Passio Januarii	
jason	Jason				unknown	disciple;host		Associated with Thessalonica (Acts 17) and named in Rom 16:21.	Host of Paul and companions in Thessalonica; named among Paul's associates.	https://en.wikipedia.org/wiki/Jason_of_Thessalonica	https://en.wikipedia.org/wiki/Jason_of_Thessalonica;https://biblehub.com/acts/17-5.htm;https://biblehub.com/romans/16-21.htm	Acts 17:5–9; Rom 16:21.
jesus-of-nazareth	Jesus of Nazareth	Jesus Christ;Yeshua	-4	30	martyrdom	founder;teacher	nazareth-nazareth	Central figure; commissioned the Twelve.	1st-century Jewish teacher whose crucifixion and claimed resurrection are foundational to Christianity.	https://en.wikipedia.org/wiki/Jesus	https://www.britannica.com/biography/Jesus;https://en.wikipedia.org/wiki/Jesus	Public ministry c. 27–30; crucifixion under Pontius Pilate (common scholarly dating).
joanna	Joanna				unknown	disciple		Named among women who supported Jesus (Luke 8:3).	Disciple named in Luke among women who supported Jesus' ministry.	https://en.wikipedia.org/wiki/Special:Search?search=Joanna%20%28biblical%20figure%29	https://biblehub.com/luke/8-3.htm;https://en.wikipedia.org/wiki/Special:Search?search=Joanna%20%28biblical%20figure%29	Luke 8:3.
john-ii	John II				natural	bishop	jerusalem-jerusalem		Bishop of Jerusalem; in the Jerusalem episcopal succession; distinct from Cyril of Jerusalem's successor John II (387–417) but possibly the same person in some lists.		Eusebius, Eccl. Hist. 4.5	
john-of-patmos	John of Patmos	John the Divine; John the Revelator	50	100	unknown	prophet;author			Christian prophet exiled to the island of Patmos; author of the Book of Revelation (Apocalypse of John); traditionally identified with John the Apostle, though scholarly opinion on authorship is divided.	https://en.wikipedia.org/wiki/John_of_Patmos	Revelation 1:1,9; Eusebius Ecclesiastical History 3.18; Justin Martyr Dialogue with Trypho 81	
john-the-apostle	John the Apostle	John the Evangelist			unknown	apostle;author		One of the Twelve; associated with Johannine tradition and later Asia Minor leadership.	Apostle traditionally linked to the Fourth Gospel and Johannine letters; later tradition places him at Ephesus.	https://en.wikipedia.org/wiki/John_the_Apostle	https://www.britannica.com/biography/Saint-John-the-Apostle;https://en.wikipedia.org/wiki/John_the_Apostle	Death traditionally late 1st century; details disputed.
john-the-baptist	John the Baptist	John the Baptizer			martyrdom	prophet;forerunner		Prepared for Jesus' ministry; baptized Jesus.	Jewish preacher and baptizer central to the origins of Jesus' movement; executed by Herod Antipas.	https://en.wikipedia.org/wiki/John_the_Baptist	https://www.britannica.com/biography/Saint-John-the-Baptist;https://en.wikipedia.org/wiki/John_the_Baptist	Execution traditionally before Jesus' death (c. late 20s/early 30s).
joseph	Joseph	Joseph of Nazareth			unknown	layperson	nazareth-nazareth		Husband of Mary and foster father of Jesus; a carpenter (Matt 13:55); of the Davidic line (Matt 1:16); appears in the infancy narratives and the Temple visit (Luke 2); absent from Jesus's public ministry, presumed deceased.	https://en.wikipedia.org/wiki/Saint_Joseph	Matt 1-2; Luke 1-2	
joseph-barsabbas-justus	Joseph Barsabbas (Justus)	Joseph called Barsabbas;Justus			unknown	disciple		Candidate to replace Judas Iscariot (Acts 1:23).	Candidate proposed to replace Judas Iscariot before Matthias was chosen.	https://en.wikipedia.org/wiki/Special:Search?search=Joseph%20Barsabbas	https://biblehub.com/acts/1-23.htm;https://en.wikipedia.org/wiki/Special:Search?search=Joseph%20Barsabbas	Acts 1:23.
joseph-husband-of-mary	Joseph (husband of Mary)				unknown	guardian	nazareth-nazareth	Connected to Jesus' early life traditions.	According to the Gospels, husband of Mary and guardian of Jesus in infancy narratives.	https://en.wikipedia.org/wiki/Saint_Joseph	https://en.wikipedia.org/wiki/Saint_Joseph	Mentioned mainly in infancy narratives.
joseph-of-arimathea	Joseph of Arimathea				unknown	disciple		Provided tomb for Jesus' burial in Gospel narratives.	Figure in passion narratives who secures Jesus' burial.	https://en.wikipedia.org/wiki/Joseph_of_Arimathea	https://en.wikipedia.org/wiki/Joseph_of_Arimathea	
joseph-of-tiberias	Joseph of Tiberias		285	356	natural	layperson;missionary	tiberias-tiberias		Jewish Christian count (comes) granted privileges by Constantine to build churches in Jewish cities of Galilee; described by Epiphanius.	https://en.wikipedia.org/wiki/Joseph_of_Tiberias	Epiphanius, Panarion 30.4	
judas-barsabbas	Judas Barsabbas				unknown	prophet;messenger		Jerusalem leader sent with Silas to Antioch (Acts 15:22).	Jerusalem leader and prophet sent with the council letter to Antioch.	https://en.wikipedia.org/wiki/Special:Search?search=Judas%20Barsabbas	https://biblehub.com/acts/15-22.htm;https://en.wikipedia.org/wiki/Special:Search?search=Judas%20Barsabbas	Acts 15:22–33.
judas-iscariot	Judas Iscariot	Judas			unknown	apostle		One of the Twelve; betrayer of Jesus.	Apostle known for betraying Jesus in the passion narratives.	https://en.wikipedia.org/wiki/Judas_Iscariot	https://www.britannica.com/biography/Judas-Iscariot;https://en.wikipedia.org/wiki/Judas_Iscariot	
jude-thaddeus	Jude (Thaddeus)	Judas Thaddaeus;Lebbaeus			unknown	apostle		One of the Twelve.	Apostle listed among the Twelve; associated with the Epistle of Jude in tradition.	https://en.wikipedia.org/wiki/Jude_Thaddeus	https://www.britannica.com/biography/Saint-Jude-Apostle;https://en.wikipedia.org/wiki/Jude_Thaddeus	
julia	Julia (Romans 16)				unknown	disciple		Greeted by Paul (Rom 16:15).	Named in Romans 16 among Paul's greetings.	https://en.wikipedia.org/wiki/Special:Search?search=Julia%20%28Romans%2016%29	https://biblehub.com/romans/16-15.htm;https://en.wikipedia.org/wiki/Special:Search?search=Julia%20%28Romans%2016%29	Rom 16:15.
julian	Julian	Julian the Apostate	331	363	martyrdom	emperor	nicomedia-izmit		Roman emperor (361–363); nephew of Constantine I; raised Christian but renounced Christianity; attempted to revive paganism and curtailed Christian privileges; killed on campaign against Persia.	https://en.wikipedia.org/wiki/Julian_(emperor)	Ammianus Marcellinus, Res Gestae	
julius-i	Julius I			352	natural	bishop	rome-rome		Pope (337–352); strong defender of Nicene orthodoxy; championed Athanasius and Marcellus of Ancyra against their Eastern accusers; presided over Council of Rome (340).	https://en.wikipedia.org/wiki/Pope_Julius_I	Athanasius, Apologia contra Arianos; Eusebius, Eccl. Hist.	
junia	Junia				unknown	disciple		Named with Andronicus in Rom 16:7.	Named by Paul among his kin and fellow prisoners; noted in Rom 16:7.	https://en.wikipedia.org/wiki/Special:Search?search=Junia%20%28New%20Testament%20person%29	https://biblehub.com/romans/16-7.htm;https://en.wikipedia.org/wiki/Special:Search?search=Junia%20%28New%20Testament%20person%29	Rom 16:7.
justin-martyr	Justin Martyr	Saint Justin; Justin the Philosopher	100	165	martyrdom	apologist;theologian;philosopher			Samaritan-born philosopher who converted to Christianity; wrote two Apologies and Dialogue with Trypho; described early Christian worship; executed in Rome under Marcus Aurelius.	https://en.wikipedia.org/wiki/Justin_Martyr	https://www.britannica.com/biography/Saint-Justin-Martyr;https://en.wikipedia.org/wiki/Justin_Martyr	His Apologies are the most detailed accounts of early 2nd-century Christian worship and theology.
